,Estimate,Standard Error,Z value,P value
Axis.48,-0.646,0.173,-3.732,0
Axis.40,-0.573,0.174,-3.283,0.001
Axis.43,0.497,0.179,2.78,0.005
Axis.27,-0.431,0.159,-2.704,0.007
Axis.29,-0.455,0.173,-2.632,0.008
Axis.1,-0.431,0.183,-2.358,0.018
Axis.6,0.371,0.165,2.252,0.024
Axis.12,0.391,0.177,2.209,0.027
Axis.17,-0.378,0.18,-2.097,0.036
Axis.21,-0.344,0.166,-2.069,0.039
Axis.45,0.322,0.167,1.932,0.053
Axis.13,0.38,0.209,1.82,0.069
